timestamp,voter,votingPowerCastForGauge,percentageOfTotalVotingPower,ionDistribution,ionDistributionParsed,votesCast,totalVotingPowerInGauge,numVotes,tx
1732160129,0x30cE132bB163B1189A8eaa07A3891ea78B91c677,44109860793801144568194,0.00019312503869210648,48.28125967302662,48281259673026620000,44109860793801144568194,87733806603546372435604669,1,0xdd9be3900f92ebbef44fb1753554381464e9045a18e83c14d32ccd7da6f92c1d
1732160209,0x4306ca986546d7DE4ceA003Cd7095B88BAF605b5,3514142491917685336904,0.000015385877273422576,3.846469318355644,3846469318355644000,3514142491917685336904,87736132955531898791136479,1,0x2b05a929bfacd5ec39cca864506fbe74b5f58ffee0f9c986ab67a37701ff642b
1732160209,0x4306ca986546d7DE4ceA003Cd7095B88BAF605b5,3043497384369200522402,0.000013325264227499628,3.331316056874907,3331316056874907000,3043497384369200522402,87738138978401997456975941,1,0x2b05a929bfacd5ec39cca864506fbe74b5f58ffee0f9c986ab67a37701ff642b
1732160767,0x1649b26eae366218F774286C38a167c1C69AFeCA,12915051858474056526503,0.000056545630500581454,14.136407625145363,14136407625145363000,12915051858474056526503,87744059895511118128058652,1,0xadaa78063eb52af24810b84df39ea7408745595377e20984bb03fd0bca178d6b
1732161015,0x59E9Bd372aFa1EAeca65b7DA07B9f8249aF69bad,2233618029688352877578,0.00000977939083561041,2.4448477089026026,2444847708902602600,2233618029688352877578,87745393652534557922769530,1,0x1b883f655d6be80f9837dc4ca075f8dd04e6d7c0da4d252bd2c9a2ee2d148edf
1732161015,0x59E9Bd372aFa1EAeca65b7DA07B9f8249aF69bad,5423473877474240265056,0.000023745452458558566,5.936363114639642,5936363114639642000,5423473877474240265056,87748587799306009826831880,1,0x1b883f655d6be80f9837dc4ca075f8dd04e6d7c0da4d252bd2c9a2ee2d148edf
1732162055,0xb56Ee863f444B1D58bd7eFEC48ee87A8aA3610Bc,110568912275853594097506,0.0004841009487932736,121.02523719831841,121025237198318410000,110568912275853594097506,87814434440370531066213960,1,0x13e4c1f03bc1dfcc4e7680dbff01135284d73b611e7db23d1267e630339475bd
1732162055,0xb56Ee863f444B1D58bd7eFEC48ee87A8aA3610Bc,215341395318645789750000,0.0009428235445433574,235.70588613583936,235705886135839360000,215341395318645789750000,87942675799284365760288960,1,0x13e4c1f03bc1dfcc4e7680dbff01135284d73b611e7db23d1267e630339475bd
1732165879,0xbA8D6600F02CD4Abd93eC63Eb99463a18aC75004,1436839799642900491277,0.00000629087775174729,1.5727194379368226,1572719437936822600,1436839799642900491277,87919278565355156882162473,1,0x8a097e97866a6e0924502d1a5952d8d56f3f21803c38ccfef0d08276774c727b
1732166175,0xbA8D6600F02CD4Abd93eC63Eb99463a18aC75004,1436980301758106951860,0.000006291492908448021,1.5728732271120052,1572873227112005200,1436980301758106951860,87919278705857272088623056,1,0xaede919b9ba2729e69dc58670be15917c2470f45f236349c1a5af2175cda8c76
